# cycle i_ni i_router o_ni o_router vnet flit
17 108 108 232 112 0 8
17 112 112 151 31 0 8
17 112 112 175 55 1 8
17 112 112 166 46 1 8
17 31 31 232 112 0 8
17 46 46 175 55 0 8
17 55 55 179 59 0 8
17 55 55 226 106 1 8
17 59 59 226 106 0 8
17 106 106 233 113 0 8
17 106 106 156 36 1 8
17 113 113 205 85 0 8
17 85 85 156 36 0 8
17 36 36 199 79 0 8
17 36 36 199 79 1 8
17 79 79 207 87 0 8
17 79 79 130 10 1 8
17 87 87 130 10 0 8
17 10 10 146 26 0 8
17 10 10 143 23 1 8
17 26 26 137 17 0 8
17 17 17 143 23 0 8
17 23 23 222 102 0 8
17 23 23 222 102 1 8
17 102 102 177 57 0 8
17 57 57 164 44 0 8
17 44 44 153 33 0 8
17 44 44 153 33 1 8
17 33 33 187 67 0 8
17 33 33 204 84 1 8
17 67 67 204 84 0 8
17 84 84 152 32 0 8
17 84 84 229 109 1 8
17 84 84 168 48 1 8
17 32 32 194 74 0 8
17 74 74 204 84 0 8
17 109 109 184 64 0 8
17 64 64 168 48 0 8
17 48 48 132 12 0 8
17 48 48 123 3 1 8
17 48 48 129 9 1 8
17 48 48 189 69 1 8
17 12 12 168 48 0 8
17 3 3 159 39 0 8
17 39 39 168 48 0 8
17 9 9 189 69 0 8
17 69 69 182 62 0 8
17 69 69 145 25 1 8
17 25 25 182 62 0 8
17 62 62 124 4 0 8
17 62 62 140 20 1 8
17 62 62 141 21 1 8
17 62 62 200 80 1 8
17 4 4 206 86 0 8
17 86 86 182 62 0 8
17 20 20 134 14 0 8
17 14 14 182 62 0 8
17 80 80 141 21 0 8
17 21 21 215 95 0 8
17 21 21 238 118 1 8
17 21 21 181 61 1 8
17 95 95 234 114 0 8
17 114 114 141 21 0 8
17 118 118 147 27 0 8
17 27 27 181 61 0 8
17 61 61 210 90 0 8
17 61 61 210 90 1 8
17 90 90 195 75 0 8
17 90 90 212 92 1 8
17 90 90 235 115 1 8
17 75 75 125 5 0 8
17 5 5 210 90 0 8
17 92 92 235 115 0 8
17 115 115 127 7 0 8
17 115 115 223 103 1 8
17 7 7 223 103 0 8
17 103 103 219 99 0 8
17 103 103 149 29 1 8
17 99 99 149 29 0 8
17 29 29 157 37 0 8
17 29 29 221 101 1 8
17 101 101 157 37 0 8
17 37 37 213 93 0 8
17 37 37 198 78 1 8
17 78 78 213 93 0 8
17 93 93 188 68 0 8
17 93 93 173 53 1 8
17 68 68 173 53 0 8
17 53 53 190 70 0 8
17 53 53 211 91 1 8
17 53 53 230 110 1 8
17 53 53 150 30 1 8
17 70 70 231 111 0 8
17 111 111 173 53 0 8
17 91 91 172 52 0 8
17 52 52 173 53 0 8
17 110 110 150 30 0 8
17 30 30 128 8 0 8
17 8 8 161 41 0 8
17 8 8 165 45 1 8
17 41 41 165 45 0 8
17 45 45 171 51 0 8
17 45 45 185 65 1 8
17 45 45 154 34 1 8
17 51 51 216 96 0 8
17 96 96 165 45 0 8
17 65 65 154 34 0 8
17 34 34 131 11 0 8
17 34 34 138 18 1 8
17 34 34 121 1 1 8
17 11 11 120 0 0 8
17 0 0 154 34 0 8
17 18 18 121 1 0 8
17 1 1 162 42 0 8
17 1 1 142 22 1 8
17 22 22 162 42 0 8
17 42 42 201 81 0 8
17 42 42 225 105 1 8
17 42 42 217 97 1 8
17 42 42 220 100 1 8
17 42 42 144 24 1 8
17 42 42 167 47 1 8
17 81 81 176 56 0 8
17 56 56 162 42 0 8
17 105 105 174 54 0 8
17 54 54 162 42 0 8
17 97 97 178 58 0 8
17 58 58 162 42 0 8
17 100 100 237 117 0 8
17 117 117 162 42 0 8
17 24 24 167 47 0 8
17 47 47 227 107 0 8
17 47 47 155 35 1 8
17 107 107 202 82 0 8
17 82 82 155 35 0 8
17 35 35 158 38 0 8
17 35 35 158 38 1 8
17 38 38 186 66 0 8
17 38 38 239 119 1 8
17 119 119 186 66 0 8
17 66 66 183 63 0 8
17 66 66 193 73 1 8
17 73 73 183 63 0 8
17 63 63 136 16 0 8
17 16 16 133 13 0 8
17 13 13 183 63 0 8
25 28 28 191 71 0 8
25 28 28 139 19 1 8
25 71 71 139 19 0 8
25 19 19 224 104 0 8
25 19 19 180 60 1 8
25 104 104 163 43 0 8
25 43 43 180 60 0 8
25 60 60 126 6 0 8
25 60 60 160 40 1 8
25 60 60 236 116 1 8
25 60 60 169 49 1 8
25 6 6 180 60 0 8
25 40 40 192 72 0 8
25 72 72 180 60 0 8
25 49 49 236 116 0 8
25 116 116 196 76 0 8
25 116 116 203 83 1 8
25 76 76 203 83 0 8
25 83 83 135 15 0 8
25 15 15 197 77 0 8
25 15 15 209 89 1 8
25 77 77 209 89 0 8
25 89 89 170 50 0 8
25 89 89 208 88 1 8
25 89 89 218 98 1 8
25 50 50 122 2 0 8
25 2 2 209 89 0 8
25 88 88 218 98 0 8
25 98 98 214 94 0 8
25 98 98 232 112 1 8
25 94 94 228 108 0 8
25 108 108 232 112 0 8
25 112 112 151 31 0 8
25 112 112 175 55 1 8
25 112 112 166 46 1 8
25 31 31 232 112 0 8
25 46 46 175 55 0 8
25 55 55 179 59 0 8
25 55 55 226 106 1 8
25 59 59 226 106 0 8
25 106 106 233 113 0 8
25 106 106 156 36 1 8
25 113 113 205 85 0 8
25 85 85 156 36 0 8
25 36 36 199 79 0 8
25 36 36 199 79 1 8
25 79 79 207 87 0 8
25 79 79 130 10 1 8
25 87 87 130 10 0 8
25 10 10 146 26 0 8
25 10 10 143 23 1 8
25 26 26 137 17 0 8
25 17 17 143 23 0 8
25 23 23 222 102 0 8
25 23 23 222 102 1 8
25 102 102 177 57 0 8
25 57 57 164 44 0 8
25 44 44 153 33 0 8
25 44 44 153 33 1 8
25 33 33 187 67 0 8
25 33 33 204 84 1 8
25 67 67 204 84 0 8
25 84 84 152 32 0 8
25 84 84 229 109 1 8
25 84 84 168 48 1 8
25 32 32 194 74 0 8
25 74 74 204 84 0 8
25 109 109 184 64 0 8
25 64 64 168 48 0 8
25 48 48 132 12 0 8
25 48 48 123 3 1 8
25 48 48 129 9 1 8
25 48 48 189 69 1 8
25 12 12 168 48 0 8
25 3 3 159 39 0 8
25 39 39 168 48 0 8
25 9 9 189 69 0 8
25 69 69 182 62 0 8
25 69 69 145 25 1 8
25 25 25 182 62 0 8
25 62 62 124 4 0 8
25 62 62 140 20 1 8
25 62 62 141 21 1 8
25 62 62 200 80 1 8
25 4 4 206 86 0 8
25 86 86 182 62 0 8
25 20 20 134 14 0 8
25 14 14 182 62 0 8
25 80 80 141 21 0 8
25 21 21 215 95 0 8
25 21 21 238 118 1 8
25 21 21 181 61 1 8
25 95 95 234 114 0 8
25 114 114 141 21 0 8
25 118 118 147 27 0 8
25 27 27 181 61 0 8
25 61 61 210 90 0 8
25 61 61 210 90 1 8
25 90 90 195 75 0 8
25 90 90 212 92 1 8
25 90 90 235 115 1 8
25 75 75 125 5 0 8
25 5 5 210 90 0 8
25 92 92 235 115 0 8
25 115 115 127 7 0 8
25 115 115 223 103 1 8
25 7 7 223 103 0 8
25 103 103 219 99 0 8
25 103 103 149 29 1 8
25 99 99 149 29 0 8
25 29 29 157 37 0 8
25 29 29 221 101 1 8
25 101 101 157 37 0 8
25 37 37 213 93 0 8
25 37 37 198 78 1 8
25 78 78 213 93 0 8
25 93 93 188 68 0 8
25 93 93 173 53 1 8
25 68 68 173 53 0 8
25 53 53 190 70 0 8
25 53 53 211 91 1 8
25 53 53 230 110 1 8
25 53 53 150 30 1 8
25 70 70 231 111 0 8
25 111 111 173 53 0 8
25 91 91 172 52 0 8
25 52 52 173 53 0 8
25 110 110 150 30 0 8
25 30 30 128 8 0 8
25 8 8 161 41 0 8
25 8 8 165 45 1 8
25 41 41 165 45 0 8
25 45 45 171 51 0 8
25 45 45 185 65 1 8
25 45 45 154 34 1 8
25 51 51 216 96 0 8
25 96 96 165 45 0 8
25 65 65 154 34 0 8
25 34 34 131 11 0 8
25 34 34 138 18 1 8
25 34 34 121 1 1 8
25 11 11 120 0 0 8
25 0 0 154 34 0 8
25 18 18 121 1 0 8
25 1 1 162 42 0 8
25 1 1 142 22 1 8
25 22 22 162 42 0 8
25 42 42 201 81 0 8
25 42 42 225 105 1 8
25 42 42 217 97 1 8
25 42 42 220 100 1 8
25 42 42 144 24 1 8
25 42 42 167 47 1 8
25 81 81 176 56 0 8
25 56 56 162 42 0 8
25 105 105 174 54 0 8
25 54 54 162 42 0 8
25 97 97 178 58 0 8
25 58 58 162 42 0 8
25 100 100 237 117 0 8
25 117 117 162 42 0 8
25 24 24 167 47 0 8
25 47 47 227 107 0 8
25 47 47 155 35 1 8
25 107 107 202 82 0 8
25 82 82 155 35 0 8
25 35 35 158 38 0 8
25 35 35 158 38 1 8
25 38 38 186 66 0 8
25 38 38 239 119 1 8
25 119 119 186 66 0 8
25 66 66 183 63 0 8
25 66 66 193 73 1 8
25 73 73 183 63 0 8
25 63 63 136 16 0 8
25 16 16 133 13 0 8
25 13 13 183 63 0 8
33 28 28 191 71 0 8
33 28 28 139 19 1 8
33 71 71 139 19 0 8
33 19 19 224 104 0 8
33 19 19 180 60 1 8
33 104 104 163 43 0 8
33 43 43 180 60 0 8
33 60 60 126 6 0 8
33 60 60 160 40 1 8
33 60 60 236 116 1 8
33 60 60 169 49 1 8
33 6 6 180 60 0 8
33 40 40 192 72 0 8
33 72 72 180 60 0 8
33 49 49 236 116 0 8
33 116 116 196 76 0 8
33 116 116 203 83 1 8
33 76 76 203 83 0 8
33 83 83 135 15 0 8
33 15 15 197 77 0 8
33 15 15 209 89 1 8
33 77 77 209 89 0 8
33 89 89 170 50 0 8
33 89 89 208 88 1 8
33 89 89 218 98 1 8
33 50 50 122 2 0 8
33 2 2 209 89 0 8
33 88 88 218 98 0 8
33 98 98 214 94 0 8
33 98 98 232 112 1 8
33 94 94 228 108 0 8
33 108 108 232 112 0 8
33 112 112 151 31 0 8
33 112 112 175 55 1 8
33 112 112 166 46 1 8
33 31 31 232 112 0 8
33 46 46 175 55 0 8
33 55 55 179 59 0 8
33 55 55 226 106 1 8
33 59 59 226 106 0 8
33 106 106 233 113 0 8
33 106 106 156 36 1 8
33 113 113 205 85 0 8
33 85 85 156 36 0 8
33 36 36 199 79 0 8
33 36 36 199 79 1 8
33 79 79 207 87 0 8
33 79 79 130 10 1 8
33 87 87 130 10 0 8
33 10 10 146 26 0 8
33 10 10 143 23 1 8
33 26 26 137 17 0 8
33 17 17 143 23 0 8
33 23 23 222 102 0 8
33 23 23 222 102 1 8
33 102 102 177 57 0 8
33 57 57 164 44 0 8
33 44 44 153 33 0 8
33 44 44 153 33 1 8
33 33 33 187 67 0 8
33 33 33 204 84 1 8
33 67 67 204 84 0 8
33 84 84 152 32 0 8
33 84 84 229 109 1 8
33 84 84 168 48 1 8
33 32 32 194 74 0 8
33 74 74 204 84 0 8
33 109 109 184 64 0 8
33 64 64 168 48 0 8
33 48 48 132 12 0 8
33 48 48 123 3 1 8
33 48 48 129 9 1 8
33 48 48 189 69 1 8
33 12 12 168 48 0 8
33 3 3 159 39 0 8
33 39 39 168 48 0 8
33 9 9 189 69 0 8
33 69 69 182 62 0 8
33 69 69 145 25 1 8
33 25 25 182 62 0 8
33 62 62 124 4 0 8
33 62 62 140 20 1 8
33 62 62 141 21 1 8
33 62 62 200 80 1 8
33 4 4 206 86 0 8
33 86 86 182 62 0 8
33 20 20 134 14 0 8
33 14 14 182 62 0 8
33 80 80 141 21 0 8
33 21 21 215 95 0 8
33 21 21 238 118 1 8
33 21 21 181 61 1 8
33 95 95 234 114 0 8
33 114 114 141 21 0 8
33 118 118 147 27 0 8
33 27 27 181 61 0 8
33 61 61 210 90 0 8
33 61 61 210 90 1 8
33 90 90 195 75 0 8
33 90 90 212 92 1 8
33 90 90 235 115 1 8
33 75 75 125 5 0 8
33 5 5 210 90 0 8
33 92 92 235 115 0 8
33 115 115 127 7 0 8
33 115 115 223 103 1 8
33 7 7 223 103 0 8
33 103 103 219 99 0 8
33 103 103 149 29 1 8
33 99 99 149 29 0 8
33 29 29 157 37 0 8
33 29 29 221 101 1 8
33 101 101 157 37 0 8
33 37 37 213 93 0 8
33 37 37 198 78 1 8
33 78 78 213 93 0 8
33 93 93 188 68 0 8
33 93 93 173 53 1 8
33 68 68 173 53 0 8
33 53 53 190 70 0 8
33 53 53 211 91 1 8
33 53 53 230 110 1 8
33 53 53 150 30 1 8
33 70 70 231 111 0 8
33 111 111 173 53 0 8
33 91 91 172 52 0 8
33 52 52 173 53 0 8
33 110 110 150 30 0 8
33 30 30 128 8 0 8
33 8 8 161 41 0 8
33 8 8 165 45 1 8
33 41 41 165 45 0 8
33 45 45 171 51 0 8
33 45 45 185 65 1 8
33 45 45 154 34 1 8
33 51 51 216 96 0 8
33 96 96 165 45 0 8
33 65 65 154 34 0 8
33 34 34 131 11 0 8
33 34 34 138 18 1 8
33 34 34 121 1 1 8
33 11 11 120 0 0 8
33 0 0 154 34 0 8
33 18 18 121 1 0 8
33 1 1 162 42 0 8
33 1 1 142 22 1 8
33 22 22 162 42 0 8
33 42 42 201 81 0 8
33 42 42 225 105 1 8
33 42 42 217 97 1 8
33 42 42 220 100 1 8
33 42 42 144 24 1 8
33 42 42 167 47 1 8
33 81 81 176 56 0 8
33 56 56 162 42 0 8
33 105 105 174 54 0 8
33 54 54 162 42 0 8
33 97 97 178 58 0 8
33 58 58 162 42 0 8
33 100 100 237 117 0 8
33 117 117 162 42 0 8
33 24 24 167 47 0 8
33 47 47 227 107 0 8
33 47 47 155 35 1 8
33 107 107 202 82 0 8
33 82 82 155 35 0 8
33 35 35 158 38 0 8
33 35 35 158 38 1 8
33 38 38 186 66 0 8
33 38 38 239 119 1 8
33 119 119 186 66 0 8
33 66 66 183 63 0 8
33 66 66 193 73 1 8
33 73 73 183 63 0 8
33 63 63 136 16 0 8
33 16 16 133 13 0 8
33 13 13 183 63 0 8
41 28 28 191 71 0 8
41 28 28 139 19 1 8
41 71 71 139 19 0 8
41 19 19 224 104 0 8
41 19 19 180 60 1 8
41 104 104 163 43 0 8
41 43 43 180 60 0 8
41 60 60 126 6 0 8
41 60 60 160 40 1 8
41 60 60 236 116 1 8
41 60 60 169 49 1 8
41 6 6 180 60 0 8
41 40 40 192 72 0 8
41 72 72 180 60 0 8
41 49 49 236 116 0 8
41 116 116 196 76 0 8
41 116 116 203 83 1 8
41 76 76 203 83 0 8
41 83 83 135 15 0 8
41 15 15 197 77 0 8
41 15 15 209 89 1 8
41 77 77 209 89 0 8
41 89 89 170 50 0 8
41 89 89 208 88 1 8
41 89 89 218 98 1 8
41 50 50 122 2 0 8
41 2 2 209 89 0 8
41 88 88 218 98 0 8
41 98 98 214 94 0 8
41 98 98 232 112 1 8
41 94 94 228 108 0 8
41 108 108 232 112 0 8
41 112 112 151 31 0 8
41 112 112 175 55 1 8
41 112 112 166 46 1 8
41 31 31 232 112 0 8
41 46 46 175 55 0 8
41 55 55 179 59 0 8
41 55 55 226 106 1 8
41 59 59 226 106 0 8
41 106 106 233 113 0 8
41 106 106 156 36 1 8
41 113 113 205 85 0 8
41 85 85 156 36 0 8
41 36 36 199 79 0 8
41 36 36 199 79 1 8
41 79 79 207 87 0 8
41 79 79 130 10 1 8
41 87 87 130 10 0 8
41 10 10 146 26 0 8
41 10 10 143 23 1 8
41 26 26 137 17 0 8
41 17 17 143 23 0 8
41 23 23 222 102 0 8
41 23 23 222 102 1 8
41 102 102 177 57 0 8
41 57 57 164 44 0 8
41 44 44 153 33 0 8
41 44 44 153 33 1 8
41 33 33 187 67 0 8
41 33 33 204 84 1 8
41 67 67 204 84 0 8
41 84 84 152 32 0 8
41 84 84 229 109 1 8
41 84 84 168 48 1 8
41 32 32 194 74 0 8
41 74 74 204 84 0 8
41 109 109 184 64 0 8
41 64 64 168 48 0 8
41 48 48 132 12 0 8
41 48 48 123 3 1 8
41 48 48 129 9 1 8
41 48 48 189 69 1 8
41 12 12 168 48 0 8
41 3 3 159 39 0 8
41 39 39 168 48 0 8
41 9 9 189 69 0 8
41 69 69 182 62 0 8
41 69 69 145 25 1 8
41 25 25 182 62 0 8
41 62 62 124 4 0 8
41 62 62 140 20 1 8
41 62 62 141 21 1 8
41 62 62 200 80 1 8
41 4 4 206 86 0 8
41 86 86 182 62 0 8
41 20 20 134 14 0 8
41 14 14 182 62 0 8
41 80 80 141 21 0 8
41 21 21 215 95 0 8
41 21 21 238 118 1 8
41 21 21 181 61 1 8
41 95 95 234 114 0 8
41 114 114 141 21 0 8
41 118 118 147 27 0 8
41 27 27 181 61 0 8
41 61 61 210 90 0 8
41 61 61 210 90 1 8
41 90 90 195 75 0 8
41 90 90 212 92 1 8
41 90 90 235 115 1 8
41 75 75 125 5 0 8
41 5 5 210 90 0 8
41 92 92 235 115 0 8
41 115 115 127 7 0 8
41 115 115 223 103 1 8
41 7 7 223 103 0 8
41 103 103 219 99 0 8
41 103 103 149 29 1 8
41 99 99 149 29 0 8
41 29 29 157 37 0 8
